
python check_exposure_pixel.py nowt/

 ---------------------------
 All Targets 
 ---------------------------
nowt/
find ./nowt/ |grep 'fits' 
...check exposure time and pixel size of all files...
986
./nowt/20201015/FLAT/FLAT_I_20201015115637_3s_0006.fits 	 4160x4136 	 2048x2068 	 3S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201016000542_3s_0777.fits 	 4160x4136 	 2048x2068 	 3S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201015114920_4s_0003.fits 	 4160x4136 	 2048x2068 	 4S 	               FLAT
./nowt/20201015/FLAT/FLAT_I_20201015115734_4s_0007.fits 	 4160x4136 	 2048x2068 	 4S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201015114725_3s_0001.fits 	 4160x4136 	 2048x2068 	 3S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201015235937_11s_0771.fits 	 4160x4136 	 2048x2068 	 11S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015233847_30s_0753.fits 	 4160x4136 	 2048x2068 	 30S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015121048_22s_0019.fits 	 4160x4136 	 2048x2068 	 22S 	               FLAT
./nowt/20201015/FLAT/FLAT_I_20201015235637_3s_0768.fits 	 4160x4136 	 2048x2068 	 3S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201016000348_4s_0775.fits 	 4160x4136 	 2048x2068 	 4S 	               FLAT
./nowt/20201015/FLAT/FLAT_R_20201015120242_9s_0012.fits 	 4160x4136 	 2048x2068 	 9S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015120711_16s_0016.fits 	 4160x4136 	 2048x2068 	 16S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015121731_30s_0024.fits 	 4160x4136 	 2048x2068 	 30S 	               FLAT
./nowt/20201015/FLAT/FLAT_R_20201015120040_7s_0010.fits 	 4160x4136 	 2048x2068 	 7S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015121444_28s_0022.fits 	 4160x4136 	 2048x2068 	 28S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015121205_24s_0020.fits 	 4160x4136 	 2048x2068 	 24S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015120821_18s_0017.fits 	 4160x4136 	 2048x2068 	 18S 	               FLAT
./nowt/20201015/FLAT/FLAT_R_20201015235228_10s_0764.fits 	 4160x4136 	 2048x2068 	 10S 	               FLAT
./nowt/20201015/FLAT/FLAT_I_20201015235440_5s_0766.fits 	 4160x4136 	 2048x2068 	 5S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015234418_23s_0757.fits 	 4160x4136 	 2048x2068 	 23S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015233723_30s_0752.fits 	 4160x4136 	 2048x2068 	 30S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015120601_16s_0015.fits 	 4160x4136 	 2048x2068 	 16S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201016000248_6s_0774.fits 	 4160x4136 	 2048x2068 	 6S 	               FLAT
./nowt/20201015/FLAT/FLAT_I_20201015115539_3s_0005.fits 	 4160x4136 	 2048x2068 	 3S 	               FLAT
./nowt/20201015/FLAT/FLAT_R_20201015235332_9s_0765.fits 	 4160x4136 	 2048x2068 	 9S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015121606_30s_0023.fits 	 4160x4136 	 2048x2068 	 30S 	               FLAT
./nowt/20201015/FLAT/FLAT_R_20201015234913_13s_0761.fits 	 4160x4136 	 2048x2068 	 13S 	               FLAT
./nowt/20201015/FLAT/FLAT_R_20201015120140_8s_0011.fits 	 4160x4136 	 2048x2068 	 8S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201015114628_3s_0000.fits 	 4160x4136 	 2048x2068 	 3S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201016000445_3s_0776.fits 	 4160x4136 	 2048x2068 	 3S 	               FLAT
./nowt/20201015/FLAT/FLAT_R_20201015120345_11s_0013.fits 	 4160x4136 	 2048x2068 	 11S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015234136_28s_0755.fits 	 4160x4136 	 2048x2068 	 28S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015121323_26s_0021.fits 	 4160x4136 	 2048x2068 	 26S 	               FLAT
./nowt/20201015/FLAT/FLAT_I_20201015235539_4s_0767.fits 	 4160x4136 	 2048x2068 	 4S 	               FLAT
./nowt/20201015/FLAT/FLAT_I_20201015115833_5s_0008.fits 	 4160x4136 	 2048x2068 	 5S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015233558_30s_0751.fits 	 4160x4136 	 2048x2068 	 30S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015234803_15s_0760.fits 	 4160x4136 	 2048x2068 	 15S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015120934_20s_0018.fits 	 4160x4136 	 2048x2068 	 20S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015234650_18s_0759.fits 	 4160x4136 	 2048x2068 	 18S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015234535_21s_0758.fits 	 4160x4136 	 2048x2068 	 21S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201016000146_8s_0773.fits 	 4160x4136 	 2048x2068 	 8S 	               FLAT
./nowt/20201015/FLAT/FLAT_I_20201015235734_3s_0769.fits 	 4160x4136 	 2048x2068 	 3S 	               FLAT
./nowt/20201015/FLAT/FLAT_V_20201015234259_25s_0756.fits 	 4160x4136 	 2048x2068 	 25S 	               FLAT
./nowt/20201015/FLAT/FLAT_R_20201015235124_10s_0763.fits 	 4160x4136 	 2048x2068 	 10S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201015115018_5s_0004.fits 	 4160x4136 	 2048x2068 	 5S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201015114822_3s_0002.fits 	 4160x4136 	 2048x2068 	 3S 	               FLAT
./nowt/20201015/FLAT/FLAT_I_20201015115933_6s_0009.fits 	 4160x4136 	 2048x2068 	 6S 	               FLAT
./nowt/20201015/FLAT/FLAT_U_20201015235832_11s_0770.fits 	 4160x4136 	 2048x2068 	 11S 	               FLAT
./nowt/20201015/FLAT/FLAT_B_20201015234012_30s_0754.fits 	 4160x4136 	 2048x2068 	 30S 	               FLAT
./nowt/20201011/BIAS/BIAS__20201012000519_0s_0511.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012001219_0s_0515.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012000914_0s_0512.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012001643_0s_0520.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123901_0s_0053.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123808_0s_0052.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123715_0s_0051.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012001034_0s_0513.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123158_0s_0045.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123529_0s_0049.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123344_0s_0047.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123437_0s_0048.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123622_0s_0050.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012001312_0s_0516.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123105_0s_0044.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201011123251_0s_0046.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012001458_0s_0518.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012001405_0s_0517.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012001643_0s_0001.fits 	 4160x4136 	 2048x2068 	 3S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012001126_0s_0514.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/BIAS/BIAS__20201012001550_0s_0519.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_R_20201011224654_3s_0456.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_B_20201011225132_6s_0460.fits 	 4160x4136 	 2048x2068 	 6S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_V_20201011224445_3s_0455.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
./nowt/20201011/clusters_TW/Fu_Ori/Fu_Ori_R_20201011230302_3s_0468.fits 	 4160x4136 	 2048x2068 	 3S 	             Fu_Ori
